,ra,dec,mag
490,5.49087,49.21056,10.1
491,57.599554,24.478528,14.6
492,84.29175,-4.73833,15.0
493,313.91342,44.34122,15.4
494,55.40671,22.27847,16.65
495,56.708675,23.53232,14.8
496,57.19075,25.94725,16.4
497,331.523525,47.568714,13.188
498,10.2975,43.55586,13.2
499,82.69067,-6.87103,15.0
500,33.227424,0.004657,10.66
501,314.295,41.0733,16.2
502,83.67275,-5.79892,15.2
503,57.82946,24.17039,13.648
504,56.10663,24.68136,18.17
505,59.28792,22.03164,17.0
506,355.71975,30.82275,11.1
507,83.610492,-5.016894,15.14
508,56.73192,25.21019,15.8
509,58.547229,42.794197,14.489
510,239.5428924,49.4523087,9.8
511,85.067067,12.650214,6.73
512,83.68971,-4.07658,14.3
513,84.15438,-5.07811,14.1
514,84.16992,-4.35561,15.0
515,83.2954,-5.1458,13.93
516,57.91365,24.548906,11.06
517,47.42367,47.65183,15.1
518,57.737492,24.413711,14.9
519,311.03921,42.39786,15.1
520,83.51521,-4.95594,21.0
521,56.364617,23.632575,15.7
522,81.95963,-4.34456,15.2
523,57.793075,24.402267,13.7
524,97.34752788,-2.81396405,8.05
525,213.050662,-0.587925,15.76
526,58.70829,24.75992,15.5
527,55.651109,23.368023,14.68
528,57.06817,26.335,13.3
529,83.437492,-7.274208,15.21
530,259.97585005,26.50086345,8.42
531,83.3508,-6.4592,15.0
532,83.971167,-5.996669,17.3
533,54.170153,3.4887612,10.913
534,319.31361994,-38.86735993,6.68
535,59.035742,21.763314,16.8
536,83.36454,-7.70533,15.6
537,188.32243,9.021047,8.988
538,281.966471,27.950967,12.064
539,130.517,19.952,16.1
540,207.26662,26.97972,7.08
541,313.1087,43.5561,15.5
542,56.81554,22.35478,15.13
543,80.954142,22.544364,12.2
544,118.97487,83.38472,10.1
545,112.9904886,36.21938713,8.9
546,56.32075,25.26328,13.52
547,314.4855,43.87675,16.0
548,100.1558,9.9228,16.0
549,84.07979,-5.01061,14.1
550,314.3196,44.7272,14.8
551,159.6241009,48.5291003,10.5
552,84.113846,-5.778436,13.9
553,121.6213,15.6794,22.0
554,131.306596,17.724022,13.6
555,57.55167,24.53294,11.98
556,84.42188,-4.24372,16.5
