index,identifier,typ,ra,dec,MagU,MagB,MagV,MagR,MagI,Magg,Magr,spectype,bib,not,mag,inCA,inCB,observedable
1380,V*V1111Tau,Fl*,68.67821,24.76981,,15.0,,17.1,,,,~,1,0,15.0,13.0,,True
1816,V*EKCnc,Fl*,128.0,21.247,16.2,17.6,,,,,,~,1,0,16.2,16.0,,True
88,2XMMiJ105627.2+070036,Fl*,164.11385,7.01013,,,,,,,,~,1,0,50.0,14.0,,True
1423,V*BKCnc,Fl*,131.55,18.783,15.7,,,,,,,~,1,0,15.7,16.0,,True
93,V*V1114Tau,Fl*,69.036208,23.475358,,15.5,,12.7,,,,~,1,0,12.7,13.0,,True
487,V*V936Tau,Fl*,68.517742,22.004067,,15.6,,15.7,,,,~,1,0,15.6,13.0,,True
694,V*V1101Tau,Fl*,66.21717,22.04497,,14.8,,14.3,,,,~,1,0,14.3,13.0,,True
1023,V*AWCnc,Fl*,129.625,18.123,15.6,15.6,,,,,,~,1,0,15.6,16.0,,True
1602,[H83b]B15,Fl*,70.97,26.5,,18.7,,,,,,~,1,0,18.7,13.0,,True
408,2MASSJ07310503+2259547,Fl*,112.770971,22.998536,,,13.523,,,,,~,1,0,13.523,18.0,,True
1934,V*V1109Tau,Fl*,68.580492,22.398675,,15.8,,14.3,,,,~,1,0,14.3,13.0,,True
1207,[H83b]B29,Fl*,66.3,22.05,,16.2,,,,,,~,1,0,16.2,13.0,,True
816,V*V1113Tau,Fl*,68.71175,22.30739,,14.5,,15.6,,,,~,1,0,14.5,13.0,,True
223,2MASSJ04482328+2439315,Fl*,72.097004,24.658769,,,14.319,,,,,~,1,0,14.319,13.0,,True
232,MASTEROTJ124017.72-040542.9,Fl*,190.073625,-4.095194,,,,,,21.78,20.387,~,1,0,20.387,10.0,17.0,True
1719,V*EECnc,Fl*,129.562,19.47,11.0,11.0,,,,,,~,1,0,11.0,5.0,16.0,True
