C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
1014|V* V575 Tau                  |Fl*|058.62683 +24.48469        |     ~|15.9  |     ~|15.000|     ~|~              |   7|   0
1015|V* V465 Tau                  |Fl*|057.25408 +24.90283        |     ~|18.533|16.954|     ~|14.237|~              |  15|   0
1016|V* V1757 Cyg                 |Fl*|309.068533 +40.788578      |16.2  |     ~|     ~|     ~|     ~|~              |   3|   0
1017|V* V1255 Ori                 |Fl*|085.07967 -03.97011        |15.9  |15.200|     ~|13.900|     ~|~              |   1|   0
1018|V* WX Ori                    |Fl*|083.53050 -05.22931        |16.580|15.187|14.344|     ~|12.624|K6             |  33|   0
1019|Ross 42                      |Fl*|083.06107184 +09.82080827  |14.226|13.158|11.529|10.37 | 8.868|M4Ve           | 107|   0
1020|V* V1153 Ori                 |Fl*|085.99354 -05.96897        |     ~|15.0  |     ~|14.500|     ~|~              |   4|   0
1021|V* V373 Ori                  |Fl*|083.70196 -05.69950        |16.401|15.074|14.205|     ~|12.526|K6             |  27|   0
1022|V* V343 Tau                  |Fl*|057.07204 +24.50444        |16.0  |15.69 |14.29 |     ~|     ~|K7.5           |  25|   0
1023|V* AW Cnc                    |Fl*|129.625 +18.123            |15.6  |15.60 |     ~|     ~|     ~|~              |   1|   0
1024|V* V941 Tau                  |Fl*|068.85496 +26.70933        |     ~|15.3  |     ~|     ~|     ~|~              |   3|   0
1025|V* V675 Tau                  |Fl*|057.72483 +24.76528        |16.8  |17.1  |     ~|16.100|     ~|~              |   6|   0
1026|V* BT Tuc                    |Fl*|015.07908178 -72.74327793  |     ~|11.31 |10.58 |     ~|     ~|G5             |  17|   0
1027|V* V1779 Cyg                 |Fl*|306.56583 +40.47111        |15.0  |15.0  |     ~|     ~|     ~|~              |   2|   0
1028|V* V907 Tau                  |Fl*|066.59800 +22.33222        |     ~|15.3  |     ~|14.100|     ~|~              |   4|   0
1029|V* V690 Mon                  |Fl*|098.69250 +10.45942        |     ~|16.0  |     ~|15.500|     ~|~              |   1|   0
1030|FSO B1                       |Fl*|083.78 -05.78              |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
1031|V* V610 Tau                  |Fl*|055.51596 +24.71261        |14.3  |14.82 |13.46 |     ~|11.73 |M:             |  21|   0
1032|V* V914 Sco                  |Fl*|254.20236547 -39.09392275  |13.803|12.806|11.332|10.143| 8.773|M3Ve           |  32|   0
1033|V* V461 Tau                  |Fl*|057.175575 +25.007936      |     ~|18.24 |16.61 |     ~|14.04 |~              |  16|   0
1034|V* V865 Ori                  |Fl*|084.29454 -06.59111        |16.3  |16.40 |14.710|13.700|12.657|M0.1           |  12|   0
1035|V* V456 Tau                  |Fl*|056.877375 +26.279125      |     ~|14.2  |17.00 |     ~|14.40 |~              |  11|   0
1036|2MASS J18304118+4512214      |Fl*|277.671604 +45.205953      |     ~|     ~|14.389|     ~|     ~|~              |   1|   0
1037|V* NP Tau                    |Fl*|056.11671 +24.17156        |15.965|13.8  |13.46 |     ~|     ~|M:             |  55|   0
1038|V* V655 Tau                  |Fl*|056.966929 +22.880053      |14.5  |19.200|     ~|17.100|     ~|~              |   6|   0
1039|V* IP Ori                    |Fl*|083.607833 -04.940961      |     ~|14.8  |15.81 |     ~|13.67 |~              |  16|   0
1040|V* V515 Tau                  |Fl*|056.05817 +25.53764        |     ~|18.754|17.146|     ~|14.070|~              |  14|   0
1041|V* V1177 Ori                 |Fl*|083.86525 -04.20083        |     ~|15.9  |     ~|15.900|     ~|~              |   3|   0
1042|V* V762 Tau                  |Fl*|057.64150 +24.87542        |15.1  |14.600|     ~|14.500|     ~|~              |   6|   0
1043|V* V582 Tau                  |Fl*|059.40417 +25.40556        |     ~|17.1  |     ~|15.500|     ~|~              |   6|   0
1044|V* V1151 Ori                 |Fl*|085.67925 -04.81892        |     ~|16.1  |     ~|16.600|     ~|~              |   2|   0
1045|Wolf 1130                    |Fl*|301.25912632 +54.43424104  |     ~|11.970|11.97 | 0.1  |     ~|sdM1.5         |  93|   0
1046|V* V1211 Ori                 |Fl*|083.25862 -04.14628        |16.4  |16.72 |     ~|14.700|     ~|~              |   3|   0
1047|BD+01 2684                   |Fl*|185.1062868 +00.5836734    |     ~|11.35 |10.13 | 9.538| 8.71 |K7V            |  44|   0
1048|V* V874 Tau                  |Fl*|057.17421 +25.02219        |     ~|17.5  |     ~|     ~|     ~|~              |   6|   0
1049|V* V774 Ori                  |Fl*|083.69800 -05.77503        |     ~|13.9  |15.6  |     ~|     ~|~              |  22|   0
1050|V* V468 Ori                  |Fl*|083.47088 -05.32872        |17.298|15.769|14.741|     ~|12.324|M0.5           |  14|   0
1051|V* V978 Ori                  |Fl*|083.60492 -04.75303        |     ~|18.1  |     ~|15.300|     ~|~              |   8|   0
1052|V* V879 Tau                  |Fl*|057.66567 +23.01792        |15.2  |15.500|     ~|13.900|     ~|~              |   6|   2
1053|V* V353 Tau                  |Fl*|057.15683 +22.76933        |15.7  |16.01 |14.57 |     ~|12.69 |M:             |  17|   0
1054|V* II Cep                    |Fl*|316.85542 +66.50572        |     ~|16.7  |     ~|16.300|     ~|~              |   3|   0
1055|V* CS Cnc                    |Fl*|131.933 +18.355            |15.5  |     ~|     ~|     ~|     ~|~              |   2|   0
1056|V* AA Cnc                    |Fl*|129.3451595 +26.2066145    |     ~|15.73 |14.156|13.844|11.0  |M4.20          |  24|   0
1057|V* V551 Ori                  |Fl*|083.719829 -05.465161      |19.874|17.901|16.806|14.50 |13.737|M0.5           |  36|   1
1058|V* V1865 Oph                 |Fl*|259.87646 -19.44078        |     ~|16.6  |     ~|16.600|     ~|~              |   3|   0
1059|KIC 5474065                  |Fl*|298.260358 +40.676067      |     ~|     ~|17.79 |     ~|15.53 |M4V            |   4|   0
1060|V* V835 Tau                  |Fl*|070.975 +22.377            |     ~|14.6  |     ~|     ~|     ~|~              |   2|   0
1061|V* V677 Ori                  |Fl*|082.08304 -03.44203        |14.6  |14.60 |     ~|13.400|     ~|~              |   4|   0
1062|V* V802 Ori                  |Fl*|083.889942 -06.306883      |     ~|15.6  |17.53 |     ~|14.90 |M3.2           |   7|   0
1063|V* V620 Cas                  |Fl*|047.809975 +60.805356      |     ~|15.1  |     ~|13.7  |     ~|~              |   1|   0
1064|V* V1589 Cyg                 |Fl*|310.7048109 +41.3833259    |14.7  |     ~|13.588|13.111|     ~|~              |  15|   0
1065|HPRA 49                      |Fl*|083.72 -05.10              |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
1066|V* V887 Sco                  |Fl*|246.33971 -26.40225        |14.5  |17.900|     ~|16.200|     ~|~              |   3|   0
1067|NLTT 24550                   |Fl*|157.878083 +57.088456      |     ~|16.31 |14.565|14.39 |11.1  |M5V            |  14|   0
1068|V* V389 Ori                  |Fl*|083.956475 -04.410686      |     ~|14.2  |15.0  |14.600|     ~|K6V:e          |  20|   0
1069|V* V726 Ori                  |Fl*|083.439396 -05.608989      |     ~|17.1  |18.04 |     ~|14.34 |M5.5           |  18|   0
1070|V* V673 Tau                  |Fl*|057.59546 +22.18836        |14.0  |15.921|14.507|     ~|12.637|~              |  10|   0
1071|V* V1068 Ori                 |Fl*|083.347096 -05.907822      |     ~|15.6  |     ~|     ~|14.92 |~              |   2|   0
1072|HD 28343                     |Fl*|067.25052000 +21.92269890  |10.988| 9.688| 8.300| 7.446| 6.656|M0.5V          | 121|   0
1073|CD-32 15723                  |Fl*|301.93740551 -31.75398442  |15.208|14.096|12.496|11.286| 9.724|M4Ve           |  30|   0
1074|V* V511 Tau                  |Fl*|055.98863 +24.22236        |20.14 |15.1  |     ~|     ~|     ~|~              |  12|   0
1075|V* V711 Ori                  |Fl*|083.22988 -07.30092        |     ~|18.100|     ~|16.200|     ~|~              |   1|   0
1076|V* NT Ori                    |Fl*|083.854642 -06.799047      |     ~|14.800|14.915|14.100|13.194|M0             |  25|   0
1077|Ross 154                     |Fl*|282.45567565 -23.83623032  |13.528|12.235|10.495| 9.278| 7.703|M3.5Ve         | 271|   0
1078|V* V846 Tau                  |Fl*|055.860144 +22.711876      |14.8  |     ~|17.30 |     ~|14.60 |~              |   9|   0
1079|V* V554 Tau                  |Fl*|057.55583 +23.42747        |17.3  |17.000|     ~|16.300|     ~|~              |   8|   0
1080|V* V891 Ori                  |Fl*|084.87683 -04.43486        |     ~|12.8  |     ~|14.500|     ~|~              |   2|   0
1081|Wolf 923                     |Fl*|323.45375 -06.85278        |     ~|15.59 |14.01 |13.807|     ~|M4             |  12|   0
1082|V* V782 Ori                  |Fl*|083.709575 -06.446781      |     ~|17.9  |16.712|16.100|14.361|M2.3           |   8|   0
1083|V* V848 Ori                  |Fl*|084.201058 -05.382536      |     ~|16.3  |     ~|     ~|     ~|~              |   7|   0
1084|V* V1064 Tau                 |Fl*|055.96213 +23.27447        |14.8  |16.100|     ~|14.600|     ~|~              |   2|   1
1085|V* V1265 Ori                 |Fl*|082.682087 -06.109458      |15.4  |     ~|     ~|     ~|     ~|~              |   3|   0
1086|V* QV Tau                    |Fl*|056.88942 +23.69253        |     ~|17.21 |15.74 |     ~|13.16 |M:             |  32|   0
1087|V* NU Tau                    |Fl*|056.19933 +24.21467        |     ~|19.24 |     ~|     ~|     ~|~              |  10|   0
1088|V* V563 Tau                  |Fl*|058.03038 +25.65017        |     ~|16.2  |     ~|16.900|     ~|~              |   7|   0
1089|V* V490 Tau                  |Fl*|055.13183 +24.54328        |     ~|16.9  |     ~|16.600|     ~|~              |   8|   0
1090|V* FO Com                    |Fl*|185.529 +27.723            |14.5  |13.00 |     ~|     ~|     ~|M...           |   1|   0
1091|2MASS J09234033+3219453      |Fl*|140.918075 +32.329269      |     ~|     ~|14.417|     ~|     ~|~              |   1|   0
1092|V* V678 Mon                  |Fl*|101.91533 +09.07511        |     ~|15.4  |     ~|14.800|     ~|~              |   1|   0
1093|V* V374 Peg                  |Fl*|330.30468947 +28.30690749  | 3.5  |13.26 |12.005|11.602| 9.8  |M3.5Ve         | 105|   0
1094|V* V1958 Cyg                 |Fl*|315.13721 +43.27283        |14.5  |16.6  |     ~|15.600|     ~|~              |   2|   0
1095|GJ 3631                      |Fl*|163.059300 +05.919404      |     ~|15.9  |14.823|14.637|11.4  |M5.40          |  24|   0
1096|V* V1078 Ori                 |Fl*|084.103017 -06.087014      |     ~|16.2  |17.437|     ~|14.859|M3.0           |   8|   0
1097|WISEA J191429.15+441950.8    |Fl*|288.621475 +44.330817      |     ~|20.7  |     ~|18.4  |     ~|~              |   1|   0
1098|V* V847 Ori                  |Fl*|084.182388 -06.257933      |15.6  |15.60 |17.481|16.400|14.567|M4             |   9|   0
1099|V* EE Mus                    |Fl*|187.734846 -65.840103      |     ~|14.7  |13.54 |13.77 |11.09 |~              |   3|   1
1100|2MASS J07505233+2231498      |Fl*|117.718075 +22.530511      |     ~|     ~|14.388|     ~|     ~|~              |   1|   0
1101|V* V898 Tau                  |Fl*|066.12233 +23.79403        |     ~|14.4  |     ~|17.800|     ~|~              |   3|   0
1102|V* V665 Tau                  |Fl*|057.33129 +24.80758        |     ~|17.3  |     ~|15.700|     ~|~              |   7|   0
1103|V* V827 Ori                  |Fl*|084.06108 -05.62639        |     ~|15.9  |     ~|15.900|     ~|M0             |  17|   0
1104|V* V446 Tau                  |Fl*|056.619258 +24.758994      |     ~|15.71 |14.19 |     ~|12.59 |K8             |  24|   0
1105|V* V1544 Cyg                 |Fl*|315.16433 +42.36014        |14.9  |17.3  |     ~|15.100|     ~|~              |   2|   0
1106|V* V771 Tau                  |Fl*|059.09788 +24.83244        |11.6  |15.445|14.122|     ~|12.455|~              |  11|   0
1107|V* V516 Tau                  |Fl*|056.278282 +23.614368      |     ~|15.0  |19.40 |     ~|15.40 |~              |  10|   0
1108|V* V439 Tau                  |Fl*|056.30029 +24.50511        |     ~|16.0  |     ~|     ~|     ~|~              |   6|   0
1109|V* V1303 Ori                 |Fl*|085.02263 -05.54575        |     ~|16.1  |     ~|     ~|     ~|~              |   3|   0
1110|V* V1783 Cyg                 |Fl*|307.958 +39.870            |16.3  |16.3  |     ~|     ~|     ~|~              |   1|   0
1111|BD+19 5116B                  |Fl*|352.9693165 +19.9371906    |     ~|14.8  |12.4  |12.165|     ~|M4.0Ve         | 148|   0
1112|V* HP Com                    |Fl*|186.175 +26.790            |14.6  |     ~|     ~|     ~|     ~|~              |   2|   0
1113|G 192-12                     |Fl*|089.982062 +58.570892      |     ~|15.24 |13.56 |13.23 |10.5  |M4.2V          |  27|   0
1114|V* V1785 Cyg                 |Fl*|308.94279 +41.19122        |16.8  |16.8  |     ~|14.500|     ~|~              |   2|   0
1115|V* V968 Ori                  |Fl*|082.75279 -05.70164        |     ~|16.2  |17.0  |16.200|     ~|~              |   3|   0
1116|GJ 3069                      |Fl*|015.49804 +54.18272        |     ~|16.96 |15.12 |14.608|11.4  |M5             |  11|   0
1117|MASTER OT J171648.24+775256.5|Fl*|259.200854 +77.881964      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
1118|V* V797 Ori                  |Fl*|083.88596 -04.33417        |15.5  |15.50 |     ~|14.000|     ~|~              |   6|   0
1119|V* V1075 Ori                 |Fl*|084.07762 -05.08550        |14.1  |14.8  |13.56 |     ~|     ~|~              |  13|   0
1120|V* V2020 Oph                 |Fl*|260.95575 -21.89192        |     ~|15.6  |     ~|14.600|     ~|~              |   3|   0
1121|V* V1699 Cyg                 |Fl*|311.4158 +43.8125          |15.6  |     ~|     ~|     ~|     ~|~              |   2|   0
1122|V* V574 Tau                  |Fl*|058.50363 +22.76861        |     ~|18.0  |     ~|     ~|     ~|~              |   6|   0
1123|V* V758 Tau                  |Fl*|057.14788 +23.76822        |14.9  |14.300|     ~|14.500|     ~|~              |   7|   0
1124|V* V347 Tau                  |Fl*|057.111463 +25.058442      |     ~|15.2  |     ~|14.900|     ~|M              |   8|   0
1125|V* V436 Tau                  |Fl*|055.86750 +24.89200        |     ~|15.4  |17.53 |     ~|15.04 |~              |  16|   0
1126|V* V703 Ori                  |Fl*|083.19429 -03.23664        |     ~|16.300|16.5  |14.500|     ~|~              |   2|   0
1127|V* V542 Tau                  |Fl*|056.957075 +24.471150      |16.4  |15.700|     ~|14.500|     ~|~              |   9|   0
1128|V* V960 Ori                  |Fl*|085.40429 -01.66453        |     ~|15    |     ~|18.200|     ~|~              |   1|   0
1129|V* V657 Tau                  |Fl*|057.03683 +24.49431        |     ~|17.4  |     ~|16.200|     ~|~              |   8|   0
1130|GJ 528 B                     |Fl*|207.266871 +26.978931      |     ~| 9.24 | 8.01 |     ~|     ~|K6             |  24|   1
1131|V* V658 Mon                  |Fl*|099.48308 +08.22900        |     ~|15.3  |     ~|15.600|     ~|~              |   1|   0
1132|V* V1128 Ori                 |Fl*|084.021438 -04.851111      |     ~|17.0  |16.49 |     ~|13.88 |~              |  13|   0
1133|EQ 0348+2515                 |Fl*|057.98 +25.42              |     ~|     ~|     ~|     ~|     ~|~              |   1|   1
1134|V* PQ Tau                    |Fl*|056.63383 +23.98300        |13.9  |14.30 |     ~|     ~|     ~|K7             |  18|   0
1135|V* CH Cnc                    |Fl*|130.283 +17.817            |     ~|17.5  |     ~|     ~|     ~|~              |   2|   0
1136|GJ 3228 A                    |Fl*|052.16221 -15.62142        |     ~|     ~|14.349|13.933|     ~|M3.5           |  14|   0
1137|V* V1015 Tau                 |Fl*|057.17613 +24.62094        |15.3  |     ~|     ~|     ~|     ~|~              |   2|   0
1138|V* KV Tau                    |Fl*|055.129833 +25.148058      |     ~|18.72 |17.17 |     ~|14.22 |~              |  18|   0
1139|[H83b] B52                   |Fl*|069.07 +23.48              |     ~|16.0  |     ~|     ~|     ~|~              |   2|   0
1140|V* V599 Cas                  |Fl*|030.646 +60.470            |     ~|11.9  |     ~|     ~|     ~|~              |   1|   0
1141|V* V725 Ori                  |Fl*|083.404346 -05.385281      |16.0  |     ~|16.22 |16.18 |13.89 |M3             |   8|   0
1142|GJ 3327                      |Fl*|076.299190 -12.007934      |     ~|14.54 |12.857|12.554|10.35 |M3             |  20|   0
1143|V* V999 Ori                  |Fl*|083.40004 -05.88178        |     ~|15.4  |     ~|     ~|     ~|~              |   4|   0
1144|V* V481 Tau                  |Fl*|059.06479 +25.48997        |     ~|18    |     ~|16.000|     ~|~              |   8|   0
1145|V* V858 Tau                  |Fl*|056.575175 +22.710069      |     ~|16.5  |     ~|15.600|     ~|~              |   6|   0
1146|V* V1097 Ori                 |Fl*|083.606446 -05.617297      |     ~|18.974|18.946|     ~|15.076|M3.8e          |  13|   0
1147|V* V1381 Cyg                 |Fl*|305.638646 +41.484433      |     ~|16.8  |     ~|16.4  |     ~|M9.2           |   3|   0
1148|V* V356 Tau                  |Fl*|057.295958 +24.347600      |13.1  |19.18 |17.43 |     ~|14.64 |~              |  22|   0
1149|GJ 3153                      |Fl*|035.192746 +02.977094      |     ~|16.47 |14.78 |13.6  |11.4  |M4.5V          |  15|   0
1150|V* QZ Mon                    |Fl*|100.11496 +09.84769        |     ~|15.6  |19.821|18.754|16.945|~              |   6|   0
1151|BD-17 588A                   |Fl*|045.46412313 -16.59336397  |13.444|12.191|10.529| 9.364| 7.887|M3.0           |  30|   0
1152|2MASS J05352283+5316027      |Fl*|083.845162 +53.267417      |     ~|     ~|13.797|     ~|     ~|~              |   1|   0
1153|V* V363 Tau                  |Fl*|057.385558 +23.928514      |     ~|14.8  |17.91 |     ~|15.27 |~              |  16|   0
1154|V* FH Tau                    |Fl*|069.158113 +23.042161      |     ~|14.8  |     ~|     ~|     ~|M5V:e          |   6|   0
1155|V* V887 Tau                  |Fl*|058.54783 +25.31194        |16.5  |     ~|     ~|     ~|15.25 |~              |   9|   0
1156|V* V756 Cen                  |Fl*|203.5754 -63.2367          |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
1157|V* V390 Ori                  |Fl*|083.996829 -04.979511      |     ~|15.3  |15.79 |     ~|13.77 |K3             |  28|   0
1158|V* V1071 Ori                 |Fl*|083.71104 -06.03964        |     ~|14.7  |12.4  |12.500|     ~|~              |   4|   0
1159|V* V448 Tau                  |Fl*|056.64963 +23.96703        |     ~|15.42 |14.02 |     ~|     ~|KV             |  26|   0
1160|NSV 15266                    |Fl*|019.3513 +65.4353          |     ~|11.1  |     ~|     ~|     ~|~              |   1|   0
1161|V* V340 Tau                  |Fl*|057.02425 +23.03419        |15.3  |17.85 |16.16 |     ~|13.74 |~              |  19|   0
1162|V* V843 Tau                  |Fl*|055.461421 +25.088672      |     ~|15.9  |     ~|15.100|     ~|~              |   6|   0
1163|GJ 3266                      |Fl*|063.0709650 +64.7321425    |     ~|15.1  |13.703|13.381|10.6  |M4             |  19|   0
1164|V* V1030 Sco                 |Fl*|247.185596 -25.916347      |15.6  |     ~|     ~|     ~|     ~|~              |   3|   1
1165|BD+16 2708                   |Fl*|223.62182125 +16.10106307  |12.86 |11.686|10.150| 9.116| 7.872|M3V            | 209|   0
1166|V* V623 Tau                  |Fl*|055.90383 +24.39394        |18.373|15.68 |14.30 |     ~|     ~|K5.5e          |  40|   0
1167|V* V618 Cas                  |Fl*|042.867 +63.233            |     ~|15.40 |     ~|     ~|     ~|M2             |   2|   0
1168|[PMF2009] V7                 |Fl*|162.94500 -61.35436        |     ~|     ~|19.80 |     ~|     ~|~              |   1|   0
1169|2MASS J18191913+4818478      |Fl*|274.829746 +48.313297      |     ~|     ~|15.029|     ~|     ~|~              |   1|   0
1170|V* V408 Ori                  |Fl*|083.774008 -05.565503      |18.234|18.283|17.404|15.94 |13.849|M3e            |  35|   0
1171|V* V654 Tau                  |Fl*|056.96225 +24.50525        |     ~|17.637|16.116|     ~|13.732|~              |  26|   0
1172|V* V860 Ori                  |Fl*|084.27046 -05.62019        |     ~|16.1  |     ~|15.800|     ~|~              |   4|   0
1173|V* V1065 Ori                 |Fl*|083.0271 -04.5794          |     ~|15.6  |     ~|     ~|     ~|~              |   2|   0
1174|V* V864 Ori                  |Fl*|084.29521 -06.50422        |     ~|16.3  |18.104|17.300|14.739|M5.1           |   5|   0
1175|V* V443 Tau                  |Fl*|056.40300 +24.65189        |     ~|18.319|16.725|     ~|13.880|~              |  22|   0
1176|G 102-4                      |Fl*|082.235471 +12.531531      |     ~|15.57 |13.92 |13.524|11.0  |M4             |  23|   0
1177|V* V1602 Cyg                 |Fl*|313.24904 +41.94003        |     ~|15.7  |     ~|16.100|     ~|~              |   2|   0
1178|V* V517 Tau                  |Fl*|056.33325 +26.05869        |     ~|18.13 |     ~|16.600|     ~|~              |   8|   0
1179|V* V734 Ori                  |Fl*|083.46179 -07.02125        |15.3  |15.600|     ~|14.000|     ~|~              |   5|   0
1180|HPRA 341                     |Fl*|082.38392 -07.40369        |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
1181|GSC 05604-00255              |Fl*|234.86933 -12.56133        |     ~|14.6  |     ~|     ~|     ~|~              |   1|   0
1182|V* V1700 Cyg                 |Fl*|311.95488 +43.00103        |16.5  |17.000|     ~|15.900|     ~|~              |   2|   0
1183|LP 613-50                    |Fl*|176.925404 +00.251697      |     ~|18.6  |     ~|15.5  |12.7  |M5e            |  10|   0
1184|V* V353 Ori                  |Fl*|083.450762 -04.657617      |     ~|15.9  |     ~|15.300|     ~|~              |   7|   0
1185|GJ 4362                      |Fl*|357.150238 -27.660817      |     ~|13.948|12.34 |11.25 | 9.88 |M2.5           |  27|   0
1186|V* OS Vir                    |Fl*|205.17412 +07.08664        |     ~|17.100|15.5  |16.200|     ~|~              |   2|   0
1187|V* V386 Tau                  |Fl*|057.96075 +22.89572        |13.5  |13.50 |17.58 |     ~|14.47 |M              |  11|   0
1188|V* V1336 Ori                 |Fl*|083.82633 -05.40133        |     ~|12.7  |19.46 |     ~|14.649|M3             |  41|   0
1189|V* V1134 Ori                 |Fl*|084.15554 -05.73539        |     ~|17.3  |     ~|17.800|     ~|~              |   3|   0
1190|V* VX Ari                    |Fl*|041.06462098 +25.52336356  |13.363|12.141|10.563| 9.49 | 8.115|M3V            | 143|   0
1191|HD 79211                     |Fl*|138.60289890 +52.68641461  |     ~| 7.966| 7.72 | 6.8  | 6.0  |K7V            | 196|   0
1192|V* V1119 Ori                 |Fl*|083.6750 -07.6042          |     ~|15.2  |     ~|     ~|     ~|~              |   2|   0
1193|Wolf 439                     |Fl*|192.39246 +09.47525        |     ~|14.6  |13.158|12.916|     ~|M3.5           |  14|   0
1194|V* V1039 Ori                 |Fl*|083.178925 -06.610675      |     ~|18.7  |     ~|16.200|     ~|~              |   4|   0
1195|V* V752 Ori                  |Fl*|083.607862 -06.064450      |     ~|     ~|18.455|     ~|15.20 |M4.7           |   4|   0
1196|V* V688 Ori                  |Fl*|082.66617 -07.05275        |     ~|13.8  |     ~|     ~|     ~|~              |   4|   0
1197|V* V888 Sco                  |Fl*|246.51808 -24.96431        |13.8  |14.000|     ~|11.800|     ~|~              |   3|   0
1198|GJ 3504                      |Fl*|128.126971 -01.577239      |     ~|20.2  |18.44 |     ~|     ~|M6             |  30|   0
1199|V* V495 Tau                  |Fl*|055.506941 +22.390800      |     ~|18.1  |17.80 |     ~|15.00 |~              |  10|   0
1200|V* V791 Tau                  |Fl*|056.887692 +25.638517      |     ~|16.5  |     ~|     ~|     ~|~              |   6|   0
1201|V* V1047 Tau                 |Fl*|056.98083 +25.56597        |15.0  |15.600|     ~|15.300|     ~|~              |   2|   0
1202|V* QU Tau                    |Fl*|056.85767 +22.34933        |     ~|16.53 |14.98 |     ~|12.22 |M:             |  25|   0
1203|V* V763 Ori                  |Fl*|083.69475 -04.96225        |     ~|14.0  |     ~|16.600|     ~|M2.5           |   8|   0
1204|V* V360 Tau                  |Fl*|057.321604 +24.346981      |16.6  |16.60 |     ~|17.100|     ~|~              |   6|   0
1205|V* V513 Tau                  |Fl*|056.12529 +25.59639        |     ~|16.642|15.120|     ~|13.072|~              |  11|   0
1206|V* V773 Ori                  |Fl*|083.711029 -04.592492      |13.5  |15.26 |13.97 |     ~|     ~|K7             |   8|   0
1207|[H83b] B29                   |Fl*|066.30 +22.05              |     ~|16.2  |     ~|     ~|     ~|~              |   1|   0
1208|V* V851 Ori                  |Fl*|084.18650 -06.74125        |     ~|18.700|17.983|17.400|15.214|M3.5           |   6|   0
1209|V* V1245 Ori                 |Fl*|084.2704 -04.2300          |14.8  |     ~|     ~|     ~|     ~|~              |   1|   0
1210|V* V979 Ori                  |Fl*|083.65742 -04.32447        |     ~|17.9  |     ~|17.500|     ~|~              |   3|   0
1211|V* QQ Tau                    |Fl*|056.76571 +23.61633        |     ~|17.03 |15.35 |     ~|12.89 |M              |  37|   0
1212|V* V527 Tau                  |Fl*|056.585650 +24.446250      |16.7  |15.8  |     ~|15.200|     ~|~              |   7|   0
1213|V* V1217 Ori                 |Fl*|083.57450 -03.55983        |14.8  |18.900|     ~|17.300|     ~|~              |   2|   0
1214|GJ 3129                      |Fl*|030.68450 +13.57600        |     ~|15.6  |14.277|14.460|10.9  |M4.5V          |  29|   0
1215|V* BD Psc                    |Fl*|345.512417 -02.194392      |     ~|21    |18    |18.400|     ~|~              |   2|   0
1216|GJ 3959                      |Fl*|247.8282842 +40.8643895    |     ~|16.5  |14.763|14.550|11.0  |M6V            |  26|   0
1217|V* HW Cep                    |Fl*|312.35900 +67.83100        |     ~|15.7  |     ~|15.400|     ~|~              |   2|   0
1218|V* V526 Tau                  |Fl*|056.49746 +22.43742        |     ~|16.0  |     ~|16.200|     ~|~              |   7|   0
1219|V* DX Cnc                    |Fl*|127.455604 +26.776039      |14.3  |16.87 |14.81 |14.736| 9.5  |M6.0Ve         | 214|   0
1220|V* V693 Ori                  |Fl*|083.01100 -03.45983        |16.7  |16.70 |     ~|14.500|     ~|~              |   2|   0
1221|V* V545 Ori                  |Fl*|083.437421 -06.233474      |     ~|14.5  |14.892|     ~|12.693|M0.5           |   7|   0
1222|V* V365 Tau                  |Fl*|057.39950 +22.15147        |     ~|15.394|13.977|     ~|12.065|M:             |  15|   0
1223|V* V1224 Ori                 |Fl*|083.70200 -04.38619        |     ~|18.2  |     ~|16.200|     ~|~              |   2|   0
1224|V* V866 Tau                  |Fl*|056.95738 +24.42872        |16.8  |19.7  |18.18 |     ~|15.23 |~              |  16|   0
1225|GJ 3966                      |Fl*|248.86421 +35.01603        |     ~|14.35 |12.951|12.617| 9.8  |M4.0V          |  23|   0
1226|V* V429 Tau                  |Fl*|055.053046 +23.159986      |     ~|17.8  |16.30 |     ~|     ~|~              |  12|   0
1227|V* V635 Tau                  |Fl*|056.36888 +22.98456        |     ~|17.11 |     ~|     ~|     ~|~              |  10|   0
1228|V* V432 Tau                  |Fl*|055.494367 +22.950556      |     ~|13.3  |16.80 |     ~|14.40 |~              |  14|   0
1229|V* V541 Tau                  |Fl*|056.92158 +23.74033        |     ~|15.21 |13.95 |     ~|12.37 |~              |  33|   0
1230|UCAC4 693-005542             |Fl*|013.27700 +48.49403        |     ~|14.53 |12.961|12.628|10.9  |~              |  10|   0
1231|V* V632 Tau                  |Fl*|056.09129 +24.76842        |13.6  |14.00 |12.96 |     ~|     ~|G3             |  51|   0
1232|V* V869 Tau                  |Fl*|057.06842 +22.54458        |     ~|16.066|14.667|     ~|12.754|~              |   9|   0
1233|V* V484 Tau                  |Fl*|067.599800 +17.499761      |     ~|16.07 |14.52 |14.36 |     ~|M3.5           |  30|   0
1234|GJ 3150                      |Fl*|034.75954 +23.88197        |     ~|15.4  |14.070|13.786|10.9  |M3.6V          |  24|   0
