C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
66  |V* DY Cnc                    |Fl*|128.621 +19.260            |12.0  |12.0  |     ~|     ~|     ~|~              |   1|   0
67  |2MASS J17533857+2912263      |Fl*|268.410742 +29.207317      |     ~|     ~|13.028|     ~|     ~|~              |   2|   0
68  |V* V604 Tau                  |Fl*|055.27517 +22.88911        |     ~|15.2  |     ~|15.100|     ~|~              |   5|   0
69  |V* V956 Tau                  |Fl*|070.612 +24.827            |     ~|16.0  |     ~|     ~|     ~|~              |   5|   0
70  |V* V837 Ori                  |Fl*|084.110278 -06.104536      |     ~|     ~|18.658|     ~|15.391|M4.5           |   5|   0
71  |GJ 3910                      |Fl*|232.97612 +28.85267        |     ~|16.1  |14.315|13.973|10.9  |M4.5V          |  25|   0
72  |V* V583 Mon                  |Fl*|100.30542 +09.53064        |     ~|18.83 |17.71 |16.33 |14.64 |M4             |  19|   0
73  |V* V564 Tau                  |Fl*|058.05075 +26.36919        |     ~|18.224|16.626|     ~|13.825|~              |  10|   0
74  |V* V724 Ori                  |Fl*|083.40229 -04.20656        |     ~|15.1  |14.8  |14.500|     ~|~              |  11|   0
75  |V* V948 Ori                  |Fl*|083.951183 -06.299833      |     ~|15.3  |16.750|16.400|14.235|M2             |  11|   0
76  |MASTER OT J171336.41+783648.1|Fl*|258.401462 +78.613458      |     ~|     ~|     ~|19.7  |     ~|~              |   1|   0
77  |V* V1772 Cyg                 |Fl*|304.29450 +42.62192        |17.0  |17.0  |     ~|15.200|     ~|~              |   2|   0
78  |V* V468 Tau                  |Fl*|057.40217 +24.30400        |     ~|14.2  |17.23 |     ~|14.68 |M3.7           |  23|   0
79  |HPRA 115                     |Fl*|084.50 -07.28              |     ~|     ~|14.8  |     ~|     ~|~              |   1|   0
80  |V* BQ Cet                    |Fl*|038.8117 +02.7992          |     ~|13.7  |     ~|     ~|     ~|~              |   2|   0
81  |V* V570 Ori                  |Fl*|083.930825 -05.545583      |18.157|16.707|15.606|     ~|13.152|M1             |  33|   0
82  |V* V806 Ori                  |Fl*|083.89288 -07.28236        |     ~|12.7  |     ~|13.500|     ~|~              |   4|   0
83  |V* V783 Ori                  |Fl*|083.7579 -04.6431          |     ~|     ~|18.4  |     ~|     ~|~              |   4|   0
84  |HPRA 262                     |Fl*|082.75 -04.22              |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
85  |V* V646 Tau                  |Fl*|056.825587 +24.036506      |15.1  |15.42 |14.02 |     ~|12.14 |M:             |  43|   0
86  |GJ 1243                      |Fl*|297.7888436 +46.4833925    |     ~|14.47 |12.83 |12.544|10.4  |M4.0V          |  46|   0
87  |V* V1145 Ori                 |Fl*|084.59779 -07.55233        |     ~|14.4  |16.344|15.200|13.420|M4.0           |   4|   0
88  |2XMMi J105627.2+070036       |Fl*|164.11385 +07.01013        |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
89  |V* V1235 Ori                 |Fl*|083.942083 -06.877358      |15.7  |14.50 |12.46 |11.29 |     ~|K0.0           |   7|   0
90  |V* MR Per                    |Fl*|057.69546 +48.21031        |     ~|16.52 |     ~|     ~|     ~|~              |  11|   0
91  |LP 390-16                    |Fl*|273.27737 +26.03108        |     ~|14.93 |12.77 |12.970|10.4  |M5V            |  30|   0
92  |V* V825 Tau                  |Fl*|067.79904 +26.55456        |     ~|14.7  |     ~|     ~|     ~|~              |   2|   0
93  |V* V1114 Tau                 |Fl*|069.036208 +23.475358      |     ~|15.500|     ~|12.700|     ~|~              |   1|   0
94  |2MASS J00313320+1136359      |Fl*|007.888358 +11.609981      |     ~|20.2  |     ~|19.8  |     ~|~              |   1|   0
95  |V* V910 Tau                  |Fl*|066.68854 +25.34497        |     ~|15.3  |     ~|15.600|     ~|~              |   4|   0
96  |V* V1930 Cyg                 |Fl*|315.1079 +44.5175          |15.5  |15.5  |     ~|     ~|     ~|~              |   1|   0
97  |V* V1108 Tau                 |Fl*|068.557250 +22.445744      |     ~|15.600|     ~|14.200|     ~|~              |   1|   0
98  |Ross 388                     |Fl*|077.29154 +15.45903        |     ~|13.98 |12.516|12.120|10.2  |M3.5V          |  27|   0
99  |V* V383 Ori                  |Fl*|083.1563 -05.2114          |     ~|15.4  |     ~|     ~|     ~|~              |   1|   0
100 |V* V1240 Ori                 |Fl*|084.03829 -05.85081        |     ~|16.3  |16.5  |15.600|     ~|M1             |  10|   0
101 |GJ 1204                      |Fl*|249.02346 +08.81367        |     ~|15.44 |13.815|13.480|10.4  |M4V            |  22|   0
102 |V* V805 Ori                  |Fl*|083.90350 -06.27528        |13.7  |15.600|14.816|14.800|13.075|K4.2           |  11|   0
103 |LP 760-3                     |Fl*|337.226671 -13.421628      |     ~|19.3  |17.14 |     ~|     ~|M6Ve           |  53|   0
104 |V* V516 Per                  |Fl*|052.22642 +50.27178        |14.1  |17.34 |     ~|     ~|     ~|~              |   5|   0
105 |HPRA 121                     |Fl*|085.57 -04.32              |     ~|     ~|14.5  |     ~|     ~|~              |   1|   0
106 |V* V Psc                     |Fl*|005.60500696 +06.66755281  |     ~|12.55 |11.200|10.730|10.2  |K7V            |  15|   0
107 |V* V430 Tau                  |Fl*|055.229332 +22.349735      |     ~|17.852|16.281|     ~|13.770|~              |  17|   0
108 |V* V1709 Cyg                 |Fl*|313.337 +45.073            |16.3  |     ~|     ~|     ~|     ~|~              |   2|   0
109 |Cl* NGC 2264 HAR 2           |Fl*|100.12 +09.85              |     ~|     ~|17.5  |     ~|     ~|~              |   1|   0
110 |EUVE J1438-43.2              |Fl*|219.6896 -43.2403          |     ~|     ~|     ~|     ~|     ~|~              |   3|   1
111 |V* V1021 Sco                 |Fl*|267.542 -35.837            |     ~|16.0  |     ~|     ~|     ~|~              |   1|   0
112 |V* V594 Tau                  |Fl*|054.15679 +23.46511        |     ~|15.6  |     ~|     ~|     ~|~              |   4|   0
113 |V* V540 Tau                  |Fl*|056.908608 +24.891842      |     ~|15.62 |14.23 |     ~|12.50 |K5e            |  24|   0
114 |V* V1239 Ori                 |Fl*|084.04367 -03.81361        |16.0  |17.61 |     ~|15.600|     ~|~              |   3|   0
115 |V* V1082 Ori                 |Fl*|084.706242 -04.852311      |     ~|17.40 |16.5  |16.16 |14.31 |~              |   4|   0
116 |V* V877 Ori                  |Fl*|084.51242 -06.32514        |     ~|16.0  |     ~|15.000|     ~|~              |   3|   1
117 |V* MR Tau                    |Fl*|055.96729 +24.84161        |16.3  |16.00 |     ~|     ~|     ~|K7V            |  41|   0
118 |V* V353 Cep                  |Fl*|314.46050 +55.43931        |     ~|16.7  |     ~|15.700|     ~|~              |   2|   0
119 |V* V746 Tau                  |Fl*|056.41788 +24.84411        |16.1  |16.400|     ~|15.400|     ~|~              |   6|   0
120 |V* V1058 Tau                 |Fl*|058.77604 +23.00958        |12.6  |16.300|     ~|15.300|     ~|~              |   1|   0
